,inner1,outer1,inner2,outer2,inner3,outer3,move,inner4,outer4,inner5,outer5,,
55,0.017514676,-0.013665468,0.00630632,-0.008892395,0.002923816,-0.000143923,0,0.004998147,0.005746506,0.009628445,0.017649949,,
56,0.00630632,-0.008892395,0.002923816,-0.000143923,0.004998147,0.005746506,0,0.009628445,0.017649949,0.015355617,0.011522382,,
57,0.002923816,-0.000143923,0.004998147,0.005746506,0.009628445,0.017649949,0,0.015355617,0.011522382,0.020022333,0.007935092,,
58,0.004998147,0.005746506,0.009628445,0.017649949,0.015355617,0.011522382,0,0.020022333,0.007935092,0.021805555,0.014127024,,
59,0.009628445,0.017649949,0.015355617,0.011522382,0.020022333,0.007935092,0,0.021805555,0.014127024,0.019791543,0.072325386,,
60,0.015355617,0.011522382,0.020022333,0.007935092,0.021805555,0.014127024,0,0.019791543,0.072325386,0.015574962,-0.002425142,,
61,0.020022333,0.007935092,0.021805555,0.014127024,0.019791543,0.072325386,0,0.015574962,-0.002425142,0.007145107,-0.062194377,,
62,0.021805555,0.014127024,0.019791543,0.072325386,0.015574962,-0.002425142,0,0.007145107,-0.062194377,0.004359126,0.004178837,,
63,0.019791543,0.072325386,0.015574962,-0.002425142,0.007145107,-0.062194377,0,0.004359126,0.004178837,0.009301096,0.001413211,,
64,0.015574962,-0.002425142,0.007145107,-0.062194377,0.004359126,0.004178837,0,0.009301096,0.001413211,0.007119447,-0.003613636,,
65,0.007145107,-0.062194377,0.004359126,0.004178837,0.009301096,0.001413211,0,0.007119447,-0.003613636,0.001032382,-0.008634448,,
66,0.004359126,0.004178837,0.009301096,0.001413211,0.007119447,-0.003613636,0,0.001032382,-0.008634448,-0.024056971,-0.011104688,,
67,0.009301096,0.001413211,0.007119447,-0.003613636,0.001032382,-0.008634448,0,-0.024056971,-0.011104688,-0.012907058,-0.010911733,,
68,0.007119447,-0.003613636,0.001032382,-0.008634448,-0.024056971,-0.011104688,0,-0.012907058,-0.010911733,0.002869785,-0.038747117,,
69,0.001032382,-0.008634448,-0.024056971,-0.011104688,-0.012907058,-0.010911733,0,0.002869785,-0.038747117,0.00855875,-0.011376038,,
70,-0.024056971,-0.011104688,-0.012907058,-0.010911733,0.002869785,-0.038747117,0,0.00855875,-0.011376038,0.005225033,-0.00695689,,
71,-0.012907058,-0.010911733,0.002869785,-0.038747117,0.00855875,-0.011376038,0,0.005225033,-0.00695689,-0.000501901,-0.002209991,,
72,0.002869785,-0.038747117,0.00855875,-0.011376038,0.005225033,-0.00695689,0,-0.000501901,-0.002209991,-0.010436714,0.002116546,,
73,0.00855875,-0.011376038,0.005225033,-0.00695689,-0.000501901,-0.002209991,0,-0.010436714,0.002116546,-0.025365889,0.000436768,,
74,0.005225033,-0.00695689,-0.000501901,-0.002209991,-0.010436714,0.002116546,0,-0.025365889,0.000436768,-0.024441868,-0.005926386,,
75,-0.000501901,-0.002209991,-0.010436714,0.002116546,-0.025365889,0.000436768,0,-0.024441868,-0.005926386,-0.02125901,-0.008260295,,
76,-0.010436714,0.002116546,-0.025365889,0.000436768,-0.024441868,-0.005926386,0,-0.02125901,-0.008260295,-0.018125117,-0.014483258,,
77,-0.025365889,0.000436768,-0.024441868,-0.005926386,-0.02125901,-0.008260295,0,-0.018125117,-0.014483258,-0.011366755,-0.019503206,,
78,-0.024441868,-0.005926386,-0.02125901,-0.008260295,-0.018125117,-0.014483258,0,-0.011366755,-0.019503206,-0.005644083,-0.009099573,,
79,-0.02125901,-0.008260295,-0.018125117,-0.014483258,-0.011366755,-0.019503206,0,-0.005644083,-0.009099573,0.008050889,-0.006131664,,
80,-0.018125117,-0.014483258,-0.011366755,-0.019503206,-0.005644083,-0.009099573,0,0.008050889,-0.006131664,0.018842936,-0.001598179,,
