,inner1,outer1,inner2,outer2,inner3,outer3,move,inner4,outer4,inner5,outer5,,,
20,-0.044520348,0,-0.050466701,0,-0.048976958,0,0,-0.039885521,0,-0.032014698,0,,,
21,-0.050466701,0,-0.048976958,0,-0.039885521,0,0,-0.032014698,0,-0.02430287,0,,,
22,-0.048976958,0,-0.039885521,0,-0.032014698,0,0,-0.02430287,0,-0.017257303,0,,,
23,-0.039885521,0,-0.032014698,0,-0.02430287,0,0,-0.017257303,0,-0.010232985,0,,,
24,-0.032014698,0,-0.02430287,0,-0.017257303,0,0,-0.010232985,0,-0.010512233,0,,,
25,-0.02430287,0,-0.017257303,0,-0.010232985,0,0,-0.010512233,0,-0.012051553,0,,,
26,-0.017257303,0,-0.010232985,0,-0.010512233,0,0,-0.012051553,0,-0.016526788,0,,,
27,-0.010232985,0,-0.010512233,0,-0.012051553,0,0,-0.016526788,0,-0.01953131,0,,,
28,-0.010512233,0,-0.012051553,0,-0.016526788,0,0,-0.01953131,0,-0.020528108,0,,,
29,-0.012051553,0,-0.016526788,0,-0.01953131,0,0,-0.020528108,0,-0.017314613,0,,,
30,-0.016526788,0,-0.01953131,0,-0.020528108,0,0,-0.017314613,0,-0.012831897,0,,,
31,-0.01953131,0,-0.020528108,0,-0.017314613,0,0,-0.012831897,0,-0.010170192,0,,,
32,-0.020528108,0,-0.017314613,0,-0.012831897,0,0,-0.010170192,0,-0.010332197,0,,,
33,-0.017314613,0,-0.012831897,0,-0.010170192,0,0,-0.010332197,0,-0.009842962,0.019953638,,,
34,-0.012831897,0,-0.010170192,0,-0.010332197,0,0,-0.009842962,0.019953638,-0.004734278,-0.008296549,,,
35,-0.010170192,0,-0.010332197,0,-0.009842962,0.019953638,0,-0.004734278,-0.008296549,0.002162516,0.013167769,,,
36,-0.010332197,0,-0.009842962,0.019953638,-0.004734278,-0.008296549,0,0.002162516,0.013167769,0.002908677,0.008853287,,,
37,-0.009842962,0.019953638,-0.004734278,-0.008296549,0.002162516,0.013167769,0,0.002908677,0.008853287,0.001351267,0.00098756,,,
38,-0.004734278,-0.008296549,0.002162516,0.013167769,0.002908677,0.008853287,0,0.001351267,0.00098756,-0.004942864,0,,,
39,0.002162516,0.013167769,0.002908677,0.008853287,0.001351267,0.00098756,0,-0.004942864,0,-0.020519465,0,,,
40,0.002908677,0.008853287,0.001351267,0.00098756,-0.004942864,0,0,-0.020519465,0,-0.021389574,0,,,
41,0.001351267,0.00098756,-0.004942864,0,-0.020519465,0,0,-0.021389574,0,-0.012086779,0,,,
42,-0.004942864,0,-0.020519465,0,-0.021389574,0,0,-0.012086779,0,0.008219421,0,,,
43,-0.020519465,0,-0.021389574,0,-0.012086779,0,0,0.008219421,0,0.019412875,0,,,
44,-0.021389574,0,-0.012086779,0,0.008219421,0,0,0.019412875,0,0.021330982,0,,,
45,-0.012086779,0,0.008219421,0,0.019412875,0,0,0.021330982,0,0.016329914,0,,,
46,0.008219421,0,0.019412875,0,0.021330982,0,0,0.016329914,0,0.011665165,0.012891829,,,
47,0.019412875,0,0.021330982,0,0.016329914,0,0,0.011665165,0.012891829,0.009311318,0.021325648,,,
48,0.021330982,0,0.016329914,0,0.011665165,0.012891829,0,0.009311318,0.021325648,0.006441087,0.013291866,,,
49,0.016329914,0,0.011665165,0.012891829,0.009311318,0.021325648,0,0.006441087,0.013291866,0.002564818,0,,,
50,0.011665165,0.012891829,0.009311318,0.021325648,0.006441087,0.013291866,0,0.002564818,0,0.002436906,0,,,
51,0.009311318,0.021325648,0.006441087,0.013291866,0.002564818,0,1,0.002436906,0,-0.00061211,0,,,
52,0.006441087,0.013291866,0.002564818,0,0.002436906,0,0,-0.00061211,0,0.001271069,0,,,
53,0.002564818,0,0.002436906,0,-0.00061211,0,0,0.001271069,0,0.003560692,0,,,
54,0.002436906,0,-0.00061211,0,0.001271069,0,0,0.003560692,0,0.00452897,0,,,
55,-0.00061211,0,0.001271069,0,0.003560692,0,0,0.00452897,0,-0.00214237,0,,,
56,0.001271069,0,0.003560692,0,0.00452897,0,0,-0.00214237,0,-0.010702997,0,,,
57,0.003560692,0,0.00452897,0,-0.00214237,0,0,-0.010702997,0,-0.013474047,0,,,
58,0.00452897,0,-0.00214237,0,-0.010702997,0,0,-0.013474047,0,-0.011235237,0,,,
59,-0.00214237,0,-0.010702997,0,-0.013474047,0,0,-0.011235237,0,-0.005853057,0,,,
60,-0.010702997,0,-0.013474047,0,-0.011235237,0,0,-0.005853057,0,0.001992255,0.069165498,,,
61,-0.013474047,0,-0.011235237,0,-0.005853057,0,0,0.001992255,0.069165498,0.00620684,0.003189206,,,
62,-0.011235237,0,-0.005853057,0,0.001992255,0.069165498,0,0.00620684,0.003189206,0.006683677,-0.00344184,,,
63,-0.005853057,0,0.001992255,0.069165498,0.00620684,0.003189206,0,0.006683677,-0.00344184,0.00668335,-0.006337434,,,
64,0.001992255,0.069165498,0.00620684,0.003189206,0.006683677,-0.00344184,0,0.00668335,-0.006337434,0.00366351,-0.006636262,,,
65,0.00620684,0.003189206,0.006683677,-0.00344184,0.00668335,-0.006337434,0,0.00366351,-0.006636262,0.004062682,-0.011413306,,,
66,0.006683677,-0.00344184,0.00668335,-0.006337434,0.00366351,-0.006636262,0,0.004062682,-0.011413306,-0.001046807,-0.012117654,,,
